TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,TRX_DATE
RT051923VAT011,1,VERTEX PT VAT,COUNTRY PT OUTPUT,VTX_PT_VAT_STD,VTX_PT_806200000,0.000000,0.000000,0.000000,N,N,NONE||,N,PORTUGAL,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT010,1,VERTEX PT VAT,COUNTRY PT OUTPUT,VTX_PT_VAT_STD,VTX_PT_806200000,0.000000,0.000000,0.000000,N,N,NONE||,N,PORTUGAL,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT007,1,VERTEX AT VAT,COUNTRY AT OUTPUT,VTX_AT_VAT_STD,VTX_AT_800400000,0.000000,0.000000,0.000000,N,N,NONE||,N,AUSTRIA,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT015,1,VERTEX PT VAT,COUNTRY PT OUTPUT,VTX_PT_VAT_STD,VTX_PT_806200000,0.000000,0.000000,0.000000,N,N,NONE||,N,PORTUGAL,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT029,1,VERTEX ES VAT,COUNTRY ES OUTPUT,VTX_ES_VAT_STD,VTX_ES_807240000,0.000000,0.000000,0.000000,N,N,NONE||,N,SPAIN,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT028,1,VERTEX ES VAT,COUNTRY ES OUTPUT,VTX_ES_VAT_STD,VTX_ES_807240000,0.000000,0.000000,0.000000,N,N,NONE||,N,SPAIN,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT030,1,VERTEX ES VAT,COUNTRY ES OUTPUT,VTX_ES_VAT_STD,VTX_ES_807240000,0.000000,0.000000,0.000000,N,N,NONE||,N,SPAIN,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT025,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT024,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT027,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT026,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT021,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT020,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT023,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT022,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT017,1,VERTEX PT VAT,COUNTRY PT OUTPUT,VTX_PT_VAT_STD,VTX_PT_806200000,0.000000,0.000000,0.000000,N,N,NONE||,N,PORTUGAL,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT016,1,VERTEX PT VAT,COUNTRY PT OUTPUT,VTX_PT_VAT_STD,VTX_PT_806200000,0.000000,0.000000,0.000000,N,N,NONE||,N,PORTUGAL,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT019,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT018,1,VERTEX PT VAT,COUNTRY PT OUTPUT,VTX_PT_VAT_STD,VTX_PT_806200000,0.000000,0.000000,0.000000,N,N,NONE||,N,PORTUGAL,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT031,1,VERTEX SG VAT,COUNTRY SG OUTPUT,VTX_SG_VAT_STD,VTX_SG_807020000,0.000000,0.000000,0.000000,N,N,NONE||,N,SINGAPORE,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT045,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT044,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT047,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT046,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT041,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT040,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT043,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT042,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT037,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT036,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT039,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT038,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT033,1,VERTEX SG VAT,COUNTRY SG OUTPUT,VTX_SG_VAT_STD,VTX_SG_807020000,0.000000,0.000000,0.000000,N,N,NONE||,N,SINGAPORE,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT032,1,VERTEX SG VAT,COUNTRY SG OUTPUT,VTX_SG_VAT_STD,VTX_SG_807020000,0.000000,0.000000,0.000000,N,N,NONE||,N,SINGAPORE,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT035,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT034,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT061,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT060,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT062,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT057,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT056,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT059,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT058,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT053,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT052,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT055,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT054,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT049,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT048,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT051,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT050,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT063,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT077,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT076,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT079,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT078,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT073,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT072,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT075,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT074,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT069,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT068,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT071,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT070,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT065,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT064,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT067,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT066,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT093,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT092,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT095,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT094,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT089,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT088,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT091,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT090,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT085,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT084,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT087,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT086,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT081,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT080,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT083,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT082,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT109,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT108,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT111,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT110,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT105,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT104,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT107,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT106,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT101,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT100,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT103,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT102,1,VERTEX GB VAT,COUNTRY GB OUTPUT,VTX_GB_VAT_STD,VTX_GB_808260000,0.000000,0.000000,0.000000,N,N,NONE||,N,UNITED KINGDOM,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT097,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT096,1,VERTEX NL VAT,COUNTRY NL OUTPUT,VTX_NL_VAT_STD,VTX_NL_805280000,0.000000,0.000000,0.000000,N,N,NONE||,N,NETHERLANDS,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT099,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT098,1,VERTEX DE VAT,COUNTRY DE OUTPUT,VTX_DE_VAT_STD,VTX_DE_802760000,0.000000,0.000000,0.000000,N,N,NONE||,N,GERMANY,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT125,1,VERTEX ES VAT,COUNTRY ES OUTPUT,VTX_ES_VAT_STD,VTX_ES_807240000,0.000000,0.000000,0.000000,N,N,NONE||,N,SPAIN,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT124,1,VERTEX ES VAT,COUNTRY ES OUTPUT,VTX_ES_VAT_STD,VTX_ES_807240000,0.000000,0.000000,0.000000,N,N,NONE||,N,SPAIN,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT126,1,VERTEX ES VAT,COUNTRY ES OUTPUT,VTX_ES_VAT_STD,VTX_ES_807240000,0.000000,0.000000,0.000000,N,N,NONE||,N,SPAIN,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT121,1,VERTEX ES VAT,COUNTRY ES OUTPUT,VTX_ES_VAT_STD,VTX_ES_807240000,0.000000,0.000000,0.000000,N,N,NONE||,N,SPAIN,NO_TAX||||||||||F,N,2023-05-19
RT051923VAT120,1,VERTEX ES VAT,COUNTRY ES OUTPUT,VTX_ES_VAT_STD,VTX_ES_807240000,0.000000,0.000000,0.000000,N,N,NONE||,N,SPAIN,NO_TAX||||||||||F,N,2023-05-19
