TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,TRX_DATE
SX070623A05,2,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,7.500000,0.375000,2000.000000,N,N,SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,98-765432|SiteRegLevel123|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A05,2,VERTEX US TAX,CITY,STD,CI-VTL-330612010,90.000000,4.500000,2000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|SiteRegLevel123|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A05,3,VERTEX US TAX,STATE,STD,ST-VTL-330000000,80.000000,4.000000,2000.000000,N,N,SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax,|CUSTLEVELREG124|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A05,3,VERTEX US TAX,CITY,STD,CI-VTL-330612010,90.000000,4.500000,2000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|SiteRegLevel123|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A05,3,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,7.500000,0.375000,2000.000000,N,N,SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,98-765432|SiteRegLevel123|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A05,1,VERTEX US TAX,STATE,STD,ST-VTL-330000000,40.000000,4.000000,1000.000000,N,N,SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax,|CUSTLEVELREG124|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A05,1,VERTEX US TAX,CITY,STD,CI-VTL-330612010,45.000000,4.500000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|SiteRegLevel123|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A05,1,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,3.750000,0.375000,1000.000000,N,N,SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,98-765432|SiteRegLevel123|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A03,1,VERTEX US TAX,COUNTY,STD,CO-VTL-430370000,36.000000,2.250000,1600.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,N,2023-07-06
SX070623A13_CURR,1,VERTEX JP VAT,COUNTRY JP OUTPUT,VTX_JP_VAT_STD,VTX_JP_803920000,100.000000,10.000000,1000.000000,N,N,VAT|National Consumption Tax|VAT,JP20180803|JP20190148|||,JAPAN,TAXABLE|OGSTC|Standard Rate|SINGLE_RATE||21|||||F,N,2023-07-06
SX070623A07,1,VERTEX US TAX,STATE,STD,ST-VTL-330000000,0.000000,0.000000,0.000000,N,N,SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax,|98-7654352|||,NEW YORK,EXEMPT|DEFAULT|Exempt||||||||F,N,2023-07-06
SX070623A07,1,VERTEX US TAX,CITY,STD,CI-VTL-330612010,0.000000,0.000000,0.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|98-7654352|||,NEW YORK,EXEMPT|DEFAULT|Exempt||||||||F,N,2023-07-06
SX070623A07,1,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,0.000000,0.000000,0.000000,N,N,SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,98-765432|98-7654352|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,EXEMPT|DEFAULT|Exempt||||||||F,N,2023-07-06
SX070623A09,1,VERTEX US TAX,STATE,STD,ST-VTL-100000000,600.000000,6.000000,10000.000000,N,N,SELLER_USE|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,FLORIDA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A09,1,VERTEX US TAX,COUNTY,STD,CO-VTL-100250000,50.000000,1.000000,5000.000000,N,N,SELLER_USE|Local Sales and Use Tax (Discretionary Sales Surtax)|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,MIAMI-DADE,TAXABLE|DEFAULT||TIERED|||||||F,N,2023-07-06
SX070623A08,3,VERTEX US TAX,STATE,STD,ST-VTL-070000000,0.000000,0.000000,0.000000,N,N,SALES|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,CONNECTICUT,NONTAXABLE|DEFAULT|||||||||T,N,2023-07-06
SX070623A08,2,VERTEX US TAX,STATE,STD,ST-VTL-070000000,63.500000,6.350000,1000.000000,N,N,SELLER_USE|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,CONNECTICUT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A08,1,VERTEX US TAX,STATE,STD,ST-VTL-070000000,10.000000,1.000000,1000.000000,N,N,SELLER_USE|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,CONNECTICUT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A11_DEC1,1,VERTEX US TAX,STATE,STD,ST-VTL-330000000,2359.060000,4.000000,58976.550000,N,N,SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax,|CUSTLEVELREG124|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A11_DEC1,1,VERTEX US TAX,CITY,STD,CI-VTL-330612010,2653.950000,4.500000,58976.550000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|SiteRegLevel123|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A11_DEC1,1,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,221.160000,0.375000,58976.550000,N,N,SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,98-765432|SiteRegLevel123|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A12_DEC2,1,VERTEX US TAX,CITY,STD,CI-VTL-330612010,2653.950000,4.500000,58976.550000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|SiteRegLevel123|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A12_DEC2,1,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,221.160000,0.375000,58976.550000,N,N,SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,98-765432|SiteRegLevel123|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A12_DEC2,1,VERTEX US TAX,STATE,STD,ST-VTL-330000000,2359.060000,4.000000,58976.550000,N,N,SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax,|CUSTLEVELREG124|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A06,1,VERTEX US TAX,COUNTY,STD,CO-VTL-450190000,10.000000,1.000000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,GRAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A06,1,VERTEX US TAX,STATE,STD,ST-VTL-450000000,48.500000,4.850000,1000.000000,N,N,SELLER_USE|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,UTAH,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A06,4,VERTEX US TAX,CITY,STD,CI-VTL-450190014,10.000000,1.000000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,CASTLE VALLEY,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A06,4,VERTEX US TAX,STATE,STD,ST-VTL-450000000,48.500000,4.850000,1000.000000,N,N,SELLER_USE|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,UTAH,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A06,4,VERTEX US TAX,COUNTY,STD,CO-VTL-450190000,10.000000,1.000000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,GRAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A06,2,VERTEX US TAX,COUNTY,STD,CO-VTL-450190000,10.000000,1.000000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,GRAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A06,2,VERTEX US TAX,STATE,STD,ST-VTL-450000000,48.500000,4.850000,1000.000000,N,N,SELLER_USE|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,UTAH,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A06,2,VERTEX US TAX,CITY,STD,CI-VTL-450190014,10.000000,1.000000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,CASTLE VALLEY,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A06,3,VERTEX US TAX,STATE,STD,ST-VTL-450000000,48.500000,4.850000,1000.000000,N,N,SELLER_USE|Sales and Use Tax|General Sales and Use Tax,|SiteRegLevel123|||,UTAH,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A06,3,VERTEX US TAX,CITY,STD,CI-VTL-450190014,10.000000,1.000000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,CASTLE VALLEY,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A06,3,VERTEX US TAX,COUNTY,STD,CO-VTL-450190000,10.000000,1.000000,1000.000000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|CUSTLEVELREG124|||,GRAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A10_DEC,1,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,221.160000,0.375000,58976.540000,N,N,SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,98-765432|SiteRegLevel123|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A10_DEC,1,VERTEX US TAX,STATE,STD,ST-VTL-330000000,2359.060000,4.000000,58976.540000,N,N,SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax,|CUSTLEVELREG124|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
SX070623A10_DEC,1,VERTEX US TAX,CITY,STD,CI-VTL-330612010,2653.950000,4.500000,58976.540000,N,N,SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax,98-765432|SiteRegLevel123|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,N,2023-07-06
