TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,TRX_DATE
PT032923A002,1,VERTEX AT VAT,CITY AT INPUT,VTX_AT_VAT_TI_STD,VTX_AT_CI_800400002,19.000000,19.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626448||||,JUNGHOLZ,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
JA032923_TAXINCL_C02,4,VERTEX US TAX,STATE,STD,ST-VTL-330000000,4.000000,4.000000,100.000000,Y,N,CONSUMERS_USE|Sales and Compensating Use Tax|General Sales and Use Tax,N,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|8.87||,2023-03-29
JA032923_TAXINCL_C02,4,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,0.370000,0.375000,100.000000,Y,N,CONSUMERS_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,|98-765432|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|8.87||,2023-03-29
JA032923_TAXINCL_C02,4,VERTEX US TAX,CITY,STD,CI-VTL-330612010,4.500000,4.500000,100.000000,Y,N,CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax,|98-765432|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|8.87||,2023-03-29
JA032923_TAXINCL_C02,3,VERTEX US TAX,CITY,STD,CI-VTL-330612010,6.750000,4.500000,150.000000,Y,N,CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax,|98-765432|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|13.31||,2023-03-29
JA032923_TAXINCL_C02,3,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,0.560000,0.375000,150.000000,Y,N,CONSUMERS_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,|98-765432|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|13.31||,2023-03-29
JA032923_TAXINCL_C02,3,VERTEX US TAX,STATE,STD,ST-VTL-330000000,6.000000,4.000000,150.000000,Y,N,CONSUMERS_USE|Sales and Compensating Use Tax|General Sales and Use Tax,N,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|13.31||,2023-03-29
JA032923_TAXINCL_C02,1,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,0.940000,0.375000,250.000000,Y,N,CONSUMERS_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,|98-765432|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|22.19||,2023-03-29
JA032923_TAXINCL_C02,2,VERTEX US TAX,STATE,STD,ST-VTL-330000000,20.000000,4.000000,500.000000,Y,N,CONSUMERS_USE|Sales and Compensating Use Tax|General Sales and Use Tax,N,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|44.38||,2023-03-29
JA032923_TAXINCL_C02,2,VERTEX US TAX,CITY,STD,CI-VTL-330612010,22.500000,4.500000,500.000000,Y,N,CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax,|98-765432|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|44.38||,2023-03-29
JA032923_TAXINCL_C02,2,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,1.880000,0.375000,500.000000,Y,N,CONSUMERS_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,|98-765432|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|88.75|ZEROCHARGED|ACCRUEALL|RANGE|0|-88.75|44.38||,2023-03-29
JA032923_TAXINCL_C04,1,VERTEX US TAX,STATE,STD,ST-VTL-390000000,15.000000,6.000000,250.000000,Y,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|87.68|ZEROCHARGED|ACCRUEALL|RANGE|0|-87.68|15.0||,2023-03-29
JA032923_TAXINCL_C04,3,VERTEX US TAX,CITY,STD,CI-VTL-060010100,11.250000,4.500000,250.000000,Y,N,CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax,|98-765432|||,COMMERCE CITY,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|87.68|ZEROCHARGED|ACCRUEALL|RANGE|0|-87.68|27.36||,2023-03-29
JA032923_TAXINCL_C04,3,VERTEX US TAX,SALES_TAX_DISTRICT_4,STD,DI-VTL-78135,2.500000,1.000000,250.000000,Y,N,CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax,|98-765432|||,REGIONAL TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|87.68|ZEROCHARGED|ACCRUEALL|RANGE|0|-87.68|27.36||,2023-03-29
JA032923_TAXINCL_C04,3,VERTEX US TAX,SALES_TAX_DISTRICT_3,STD,DI-VTL-78399,0.250000,0.100000,250.000000,Y,N,CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax,|98-765432|||,SCIENTIFIC AND CULTURAL FACILITIES DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|87.68|ZEROCHARGED|ACCRUEALL|RANGE|0|-87.68|27.36||,2023-03-29
JA032923_TAXINCL_C04,3,VERTEX US TAX,STATE,STD,ST-VTL-060000000,7.250000,2.900000,250.000000,Y,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,COLORADO,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|87.68|ZEROCHARGED|ACCRUEALL|RANGE|0|-87.68|27.36||,2023-03-29
JA032923_TAXINCL_C04,2,VERTEX US TAX,STATE,STD,ST-VTL-330000000,10.000000,4.000000,250.000000,Y,N,CONSUMERS_USE|Sales and Compensating Use Tax|General Sales and Use Tax,N,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|87.68|ZEROCHARGED|ACCRUEALL|RANGE|0|-87.68|22.19||,2023-03-29
JA032923_TAXINCL_C04,2,VERTEX US TAX,SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,0.940000,0.375000,250.000000,Y,N,CONSUMERS_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax,|98-765432|||,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|87.68|ZEROCHARGED|ACCRUEALL|RANGE|0|-87.68|22.19||,2023-03-29
JA032923_TAXINCL_C04,2,VERTEX US TAX,CITY,STD,CI-VTL-330612010,11.250000,4.500000,250.000000,Y,N,CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax,|98-765432|||,NEW YORK,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|87.68|ZEROCHARGED|ACCRUEALL|RANGE|0|-87.68|22.19||,2023-03-29
JA032923_TAXINCL_C04,4,VERTEX US TAX,STATE,STD,ST-VTL-430000000,17.500000,7.000000,250.000000,Y,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|87.68|ZEROCHARGED|ACCRUEALL|RANGE|0|-87.68|23.13||,2023-03-29
JA032923_TAXINCL_C04,4,VERTEX US TAX,COUNTY,STD,CO-VTL-430370000,5.630000,2.250000,250.000000,Y,N,CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax,|98-765432|||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,RIUS104111|87.68|ZEROCHARGED|ACCRUEALL|RANGE|0|-87.68|23.13||,2023-03-29
JA032923_TAXINCL_C03,1,VERTEX US TAX,STATE,STD,ST-VTL-390000000,60.000000,6.000000,1000.000000,Y,N,CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax,N,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,RIUS104111|60.0|ZEROCHARGED|ACCRUEALL|RANGE|0|-60.0|60.0||,2023-03-29
PT032923A005,1,VERTEX AT VAT,COUNTRY AT INPUT,VTX_AT_VAT_I_OUTOFSCOPE,VTX_AT_800400000,0.000000,0.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626689|AT4152630|||,AUSTRIA,NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
PT032923A005,1,VERTEX AT VAT,CITY AT INPUT,VTX_AT_VAT_TI_STD,VTX_AT_CI_800400004,19.000000,19.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626689||||,MITTELBERG,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
PT032923A004,1,VERTEX AT VAT,COUNTRY AT INPUT,VTX_AT_VAT_I_OUTOFSCOPE,VTX_AT_800400000,0.000000,0.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626689|AT4152630|||,AUSTRIA,NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
PT032923A004,1,VERTEX AT VAT,CITY AT INPUT,VTX_AT_VAT_TI_STD,VTX_AT_CI_800400004,19.000000,19.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626689||||,MITTELBERG,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
PT032923A007,1,VERTEX AT VAT,COUNTRY AT INPUT,VTX_AT_VAT_I_STD,VTX_AT_800400000,20.000000,20.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626796|AT4152630|||,AUSTRIA,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|20.0|MATCHED|PAYCHARGED||20.000000|0.000000|20.0|20|Y,2023-03-29
PT032923A006,1,VERTEX AT VAT,COUNTRY AT INPUT,VTX_AT_VAT_I_OUTOFSCOPE,VTX_AT_800400000,0.000000,0.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626689|DE6352410|||,AUSTRIA,NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
PT032923A006,1,VERTEX AT VAT,CITY AT INPUT,VTX_AT_VAT_TI_STD,VTX_AT_CI_800400004,19.000000,19.000000,100.000000,N,100.000000,VAT|VAT|VAT,ATU43626689|DE6352410|||,MITTELBERG,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
PT032923A021,1,VERTEX DE VAT,COUNTRY DE INPUT,VTX_DE_VAT_I_STD,VTX_DE_802760000,19.000000,19.000000,100.000000,N,100.000000,VAT|VAT|VAT,DE224193841|DE6352410|||,GERMANY,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
PT032923A020,1,VERTEX DE VAT,COUNTRY DE INPUT,VTX_DE_VAT_I_STD,VTX_DE_802760000,19.000000,19.000000,100.000000,N,100.000000,VAT|VAT|VAT,DE224193841|DE4152630|||,GERMANY,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
PT032923A023,1,VERTEX GB VAT,COUNTRY GB INPUT,VTX_GB_VAT_I_STD,VTX_GB_808260000,20.000000,20.000000,100.000000,N,100.000000,VAT|VAT|VAT,GB805979783|GB852145872|||,UNITED KINGDOM,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|20.0|MATCHED|PAYCHARGED||20.000000|0.000000|20.0|20|Y,2023-03-29
PT032923A022,1,VERTEX GB VAT,COUNTRY GB INPUT,VTX_GB_VAT_I_STD,VTX_GB_808260000,20.000000,20.000000,100.000000,N,100.000000,VAT|VAT|VAT,GB804979985|GB852145872|||,UNITED KINGDOM,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|20.0|MATCHED|PAYCHARGED||20.000000|0.000000|20.0|20|Y,2023-03-29
PT032923A017,1,VERTEX PT VAT,COUNTRY PT INPUT,VTX_PT_VAT_I_STD,VTX_PT_806200000,23.000000,23.000000,100.000000,N,100.000000,VAT|VAT|VAT,PT513069291|PT4152630|||,PORTUGAL,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|23.0|MATCHED|PAYCHARGED||23.000000|0.000000|23.0|23|Y,2023-03-29
PT032923A016,1,VERTEX PT VAT,COUNTRY PT INPUT,VTX_PT_VAT_I_STD,VTX_PT_806200000,23.000000,23.000000,100.000000,N,100.000000,VAT|VAT|VAT,PT513069291|PT4152630|||,PORTUGAL,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|23.0|MATCHED|PAYCHARGED||23.000000|0.000000|23.0|23|Y,2023-03-29
PT032923A019,1,VERTEX DE VAT,COUNTRY DE INPUT,VTX_DE_VAT_I_STD,VTX_DE_802760000,19.000000,19.000000,100.000000,N,100.000000,VAT|VAT|VAT,DE224193841|DE4152630|||,GERMANY,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|19.0|MATCHED|PAYCHARGED||19.000000|0.000000|19.0|19|Y,2023-03-29
PT032923A018,1,VERTEX PT VAT,COUNTRY PT INPUT,VTX_PT_VAT_I_STD,VTX_PT_806200000,23.000000,23.000000,100.000000,N,100.000000,VAT|VAT|VAT,PT513069291|DE6352410|||,PORTUGAL,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|23.0|MATCHED|PAYCHARGED||23.000000|0.000000|23.0|23|Y,2023-03-29
PT032923A013,1,VERTEX PT VAT,TERRITORY PT INPUT,VTX_PT_VAT_TI_STD,VTX_PT_T_806200002,18.000000,18.000000,100.000000,N,100.000000,VAT|VAT|VAT,PT513069950||||,AZORES,TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F,RIUS104111|18.0|MATCHED|PAYCHARGED||18.000000|0.000000|18.0|18|Y,2023-03-29
PT032923A013,1,VERTEX PT VAT,COUNTRY PT INPUT,VTX_PT_VAT_I_OUTOFSCOPE,VTX_PT_806200000,0.000000,0.000000,100.000000,N,100.000000,VAT|VAT|VAT,PT513069950|PT4152630|||,PORTUGAL,NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F,RIUS104111|18.0|MATCHED|PAYCHARGED||18.000000|0.000000|18.0|18|Y,2023-03-29
