TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15
IF100421A057,113,"VERTEX DE VAT","COUNTRY DE INPUT",VTX_DE_VAT_I_REDUCED,VTX_DE_802760000,9,9,100,N,100,VAT|VAT|VAT,DE224193841|DE4152630|||,GERMANY,"TAXABLE|DEFAULT|Reduced Rate 4|SINGLE_RATE|Reduced Rate 4|21|||||F",321|9.0|MATCHED|PAYCHARGED||9.000000|0.000000|9.0|9|Y
IF100421A058,115,"VERTEX DE VAT","COUNTRY DE INPUT",VTX_DE_VAT_I_REDUCED,VTX_DE_802760000,9,9,100,N,100,VAT|VAT|VAT,DE224193841|DE6352410|||,GERMANY,"TAXABLE|DEFAULT|Reduced Rate 4|SINGLE_RATE|Reduced Rate 4|21|||||F",321|9.0|MATCHED|PAYCHARGED||9.000000|0.000000|9.0|9|Y
IF100421A059,117,"VERTEX DE VAT","COUNTRY DE INPUT",VTX_DE_VAT_I_REDUCED,VTX_DE_802760000,5,5,100,N,100,VAT|VAT|VAT,DE224193841|DE4152630|||,GERMANY,"TAXABLE|DEFAULT|Reduced Rate 5|SINGLE_RATE|Reduced Rate 5|21|||||F",321|5.0|MATCHED|PAYCHARGED||5.000000|0.000000|5.0|5|Y
IF100421A060,119,"VERTEX DE VAT","COUNTRY DE INPUT",VTX_DE_VAT_I_REDUCED,VTX_DE_802760000,5,5,100,N,100,VAT|VAT|VAT,DE224193841|DE4152630|||,GERMANY,"TAXABLE|DEFAULT|Reduced Rate 5|SINGLE_RATE|Reduced Rate 5|21|||||F",321|5.0|MATCHED|PAYCHARGED||5.000000|0.000000|5.0|5|Y
IF100421A061,121,"VERTEX DE VAT","COUNTRY DE INPUT",VTX_DE_VAT_I_REDUCED,VTX_DE_802760000,5,5,100,N,100,VAT|VAT|VAT,DE224193841|DE6352410|||,GERMANY,"TAXABLE|DEFAULT|Reduced Rate 5|SINGLE_RATE|Reduced Rate 5|21|||||F",321|5.0|MATCHED|PAYCHARGED||5.000000|0.000000|5.0|5|Y
IF100421A062,123,"VERTEX ES VAT","COUNTRY ES ADDLVAT INPUT",VTX_ES_AVAT_I_STD,VTX_ES_807240000,5.2,5.2,100,N,100,"VAT|Additional VAT|Additional VAT",ESN0071677A|ES4152630|||,SPAIN,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|26.2|MATCHED|PAYCHARGED||26.200000|0.000000|26.2|26.2|Y
IF100421A062,123,"VERTEX ES VAT","COUNTRY ES INPUT",VTX_ES_VAT_I_STD,VTX_ES_807240000,21,21,100,N,100,VAT|VAT|VAT,ESN0071677A|ES4152630|||,SPAIN,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|26.2|MATCHED|PAYCHARGED||26.200000|0.000000|26.2|26.2|Y
IF100421A063,125,"VERTEX ES VAT","COUNTRY ES ADDLVAT INPUT",VTX_ES_AVAT_I_STD,VTX_ES_807240000,5.2,5.2,100,N,100,"VAT|Additional VAT|Additional VAT",ESN0071677A|ES4152630|||,SPAIN,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|26.2|MATCHED|PAYCHARGED||26.200000|0.000000|26.2|26.2|Y
IF100421A063,125,"VERTEX ES VAT","COUNTRY ES INPUT",VTX_ES_VAT_I_STD,VTX_ES_807240000,21,21,100,N,100,VAT|VAT|VAT,ESN0071677A|ES4152630|||,SPAIN,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|26.2|MATCHED|PAYCHARGED||26.200000|0.000000|26.2|26.2|Y
IF100421A064,127,"VERTEX ES VAT","COUNTRY ES ADDLVAT INPUT",VTX_ES_AVAT_I_STD,VTX_ES_807240000,5.2,5.2,100,N,100,"VAT|Additional VAT|Additional VAT",ESN0071677A|ES6518992|||,SPAIN,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|26.2|MATCHED|PAYCHARGED||26.200000|0.000000|26.2|26.2|Y
IF100421A064,127,"VERTEX ES VAT","COUNTRY ES INPUT",VTX_ES_VAT_I_STD,VTX_ES_807240000,21,21,100,N,100,VAT|VAT|VAT,ESN0071677A|ES6518992|||,SPAIN,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|26.2|MATCHED|PAYCHARGED||26.200000|0.000000|26.2|26.2|Y
IF100421A065,129,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_ZERO,VTX_GB_808260000,0,0,100,N,100,VAT|VAT|VAT,NL814704979B01|GB852145872|||,"UNITED KINGDOM","TAXABLE|DEFAULT|Zero Rate||Zero Rate|09|||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A065,129,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_ZERO,VTX_GB_808260000,0,0,100,N,100,VAT|VAT|VAT,NL814704979B01|GB852145872|||,"UNITED KINGDOM","TAXABLE|DEFAULT|Zero Rate||Zero Rate|09|||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A065,129,"VERTEX NL VAT","COUNTRY NL INPUT",VTX_NL_VAT_I_ZERO,VTX_NL_805280000,0,0,100,N,100,VAT|VAT|VAT,NL814704979B01|GB852145872|||,NETHERLANDS,"TAXABLE|DEFAULT|Zero Rate||Zero Rate|01|03||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A007,13,"VERTEX AT VAT","COUNTRY AT INPUT",VTX_AT_VAT_I_STD,VTX_AT_800400000,20,20,100,N,100,VAT|VAT|VAT,ATU43626796|AT4152630|||,AUSTRIA,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|20.0|MATCHED|PAYCHARGED||20.000000|0.000000|20.0|20|Y
IF100421A066,130,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_ZERO,VTX_GB_808260000,0,0,100,N,100,VAT|VAT|VAT,NL814704979B01|GB852145872|||,"UNITED KINGDOM","TAXABLE|DEFAULT|Zero Rate||Zero Rate|09|||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A066,130,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_ZERO,VTX_GB_808260000,0,0,100,N,100,VAT|VAT|VAT,NL814704979B01|GB852145872|||,"UNITED KINGDOM","TAXABLE|DEFAULT|Zero Rate||Zero Rate|09|||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A066,130,"VERTEX NL VAT","COUNTRY NL INPUT",VTX_NL_VAT_I_ZERO,VTX_NL_805280000,0,0,100,N,100,VAT|VAT|VAT,NL814704979B01|GB852145872|||,NETHERLANDS,"TAXABLE|DEFAULT|Zero Rate||Zero Rate|01|03||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A067,131,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_ZERO,VTX_GB_808260000,0,0,100,N,100,VAT|VAT|VAT,NL814704979B01|GB852145872|||,"UNITED KINGDOM","TAXABLE|DEFAULT|Zero Rate||Zero Rate|09|||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A067,131,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_ZERO,VTX_GB_808260000,0,0,100,N,100,VAT|VAT|VAT,NL814704979B01|GB852145872|||,"UNITED KINGDOM","TAXABLE|DEFAULT|Zero Rate||Zero Rate|09|||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A067,131,"VERTEX NL VAT","COUNTRY NL INPUT",VTX_NL_VAT_I_ZERO,VTX_NL_805280000,0,0,100,N,100,VAT|VAT|VAT,NL814704979B01|GB852145872|||,NETHERLANDS,"TAXABLE|DEFAULT|Zero Rate||Zero Rate|01|03||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A068,132,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_OUTOFSCOPE,VTX_GB_808260000,0,0,100,N,100,VAT|VAT|VAT,GB804979985|GB852145872|||,"UNITED KINGDOM","NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A069,133,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_EXEMPT,VTX_GB_808260000,0,0,100,N,100,VAT|VAT|VAT,GB804979985|GB852145872|||,"UNITED KINGDOM",EXEMPT|DEFAULT|Exempt||Exempt|21|||||T,321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A070,134,"VERTEX ES VAT","COUNTRY ES INPUT",VTX_ES_VAT_I_ZERO,VTX_ES_807240000,0,0,100,N,100,VAT|VAT|VAT,GB804979985|ES4152630|||,SPAIN,"TAXABLE|DEFAULT|Zero Rate||Zero Rate|09|||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A070,134,"VERTEX ES VAT","COUNTRY ES INPUT",VTX_ES_VAT_I_ZERO,VTX_ES_807240000,0,0,100,N,100,VAT|VAT|VAT,GB804979985|ES4152630|||,SPAIN,"TAXABLE|DEFAULT|Zero Rate||Zero Rate|09|||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A070,134,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_ZERO,VTX_GB_808260000,0,0,100,N,100,VAT|VAT|VAT,GB804979985|ES4152630|||,"UNITED KINGDOM","TAXABLE|DEFAULT|Zero Rate||Zero Rate|01|03||||F",321|0.0|MATCHED|PAYCHARGED||0.000000|0.000000|0.0|0|Y
IF100421A071,135,"VERTEX ES VAT","COUNTRY ES INPUT",VTX_ES_VAT_I_REDUCED,VTX_ES_807240000,4,4,100,N,100,VAT|VAT|VAT,ESN0071677A|ES4152630|||,SPAIN,"TAXABLE|DEFAULT|Reduced Rate 2|SINGLE_RATE|Reduced Rate 2|21|||||F",321|4.0|MATCHED|PAYCHARGED||4.000000|0.000000|4.0|4|Y
IF100421A072,137,"VERTEX ES VAT","COUNTRY ES INPUT",VTX_ES_VAT_I_REDUCED,VTX_ES_807240000,4,4,100,N,100,VAT|VAT|VAT,ESN0071677A|ES4152630|||,SPAIN,"TAXABLE|DEFAULT|Reduced Rate 2|SINGLE_RATE|Reduced Rate 2|21|||||F",321|4.0|MATCHED|PAYCHARGED||4.000000|0.000000|4.0|4|Y
IF100421A073,139,"VERTEX ES VAT","COUNTRY ES INPUT",VTX_ES_VAT_I_REDUCED,VTX_ES_807240000,4,4,100,N,100,VAT|VAT|VAT,ESN0071677A|ES6518992|||,SPAIN,"TAXABLE|DEFAULT|Reduced Rate 2|SINGLE_RATE|Reduced Rate 2|21|||||F",321|4.0|MATCHED|PAYCHARGED||4.000000|0.000000|4.0|4|Y
IF100421A074,141,"VERTEX ES VAT","COUNTRY ES INPUT",VTX_ES_VAT_I_STD,VTX_ES_807240000,21,21,100,N,100,VAT|VAT|VAT,ESN0071677A|ES4152630|||,SPAIN,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|47.2|MATCHED|PAYCHARGED||47.200000|0.000000|21.0|21|Y
IF100421A074,142,"VERTEX ES VAT","COUNTRY ES ADDLVAT INPUT",VTX_ES_AVAT_I_STD,VTX_ES_807240000,5.2,5.2,100,N,100,"VAT|Additional VAT|Additional VAT",ESN0071677A|ES4152630|||,SPAIN,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|47.2|MATCHED|PAYCHARGED||47.200000|0.000000|26.2|26.2|Y
IF100421A074,142,"VERTEX ES VAT","COUNTRY ES INPUT",VTX_ES_VAT_I_STD,VTX_ES_807240000,21,21,100,N,100,VAT|VAT|VAT,ESN0071677A|ES4152630|||,SPAIN,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|47.2|MATCHED|PAYCHARGED||47.200000|0.000000|26.2|26.2|Y
IF100421A075,144,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_STD,VTX_GB_808260000,20,20,100,N,100,VAT|VAT|VAT,GB804979985|GB852145872|||,"UNITED KINGDOM","TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|123.0|MATCHED|PAYCHARGED||123.000000|0.000000|20.0|20|Y
IF100421A075,145,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_LUXURY,VTX_GB_808260000,40,40,100,N,100,VAT|VAT|VAT,GB804979985|GB852145872|||,"UNITED KINGDOM","TAXABLE|DEFAULT|Luxury Rate|SINGLE_RATE|Luxury Rate|21|||||F",321|123.0|MATCHED|PAYCHARGED||123.000000|0.000000|40.0|40|Y
IF100421A075,146,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_USERDEF,VTX_GB_808260000,15,15,100,N,100,VAT|VAT|VAT,GB804979985|GB852145872|||,"UNITED KINGDOM","TAXABLE|DEFAULT|User Defined|SINGLE_RATE|User Defined|21|||||F",321|123.0|MATCHED|PAYCHARGED||123.000000|0.000000|15.0|15|Y
IF100421A075,147,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_MIXED,VTX_GB_808260000,18,18,100,N,100,VAT|VAT|VAT,GB804979985|GB852145872|||,"UNITED KINGDOM",TAXABLE|DEFAULT|Mixed|SINGLE_RATE|Mixed|21|||||F,321|123.0|MATCHED|PAYCHARGED||123.000000|0.000000|18.0|18|Y
IF100421A075,148,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_REDUCED,VTX_GB_808260000,5,5,100,N,100,VAT|VAT|VAT,GB804979985|GB852145872|||,"UNITED KINGDOM","TAXABLE|DEFAULT|Reduced Rate 1|SINGLE_RATE|Reduced Rate 1|21|||||F",321|123.0|MATCHED|PAYCHARGED||123.000000|0.000000|5.0|5|Y
IF100421A075,149,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_REDUCED,VTX_GB_808260000,16,16,100,N,100,VAT|VAT|VAT,GB804979985|GB852145872|||,"UNITED KINGDOM","TAXABLE|DEFAULT|Reduced Rate 3|SINGLE_RATE|Reduced Rate 3|21|||||F",321|123.0|MATCHED|PAYCHARGED||123.000000|0.000000|16.0|16|Y
IF100421A008,15,"VERTEX AT VAT","COUNTRY AT INPUT",VTX_AT_VAT_I_STD,VTX_AT_800400000,20,20,100,N,100,VAT|VAT|VAT,ATU43626796|AT4152630|||,AUSTRIA,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|20.0|MATCHED|PAYCHARGED||20.000000|0.000000|20.0|20|Y
IF100421A075,150,"VERTEX GB VAT","COUNTRY GB INPUT",VTX_GB_VAT_I_REDUCED,VTX_GB_808260000,9,9,100,N,100,VAT|VAT|VAT,GB804979985|GB852145872|||,"UNITED KINGDOM","TAXABLE|DEFAULT|Reduced Rate 4|SINGLE_RATE|Reduced Rate 4|21|||||F",321|123.0|MATCHED|PAYCHARGED||123.000000|0.000000|9.0|9|Y
IF100421CM001,152,"VERTEX AT VAT","CITY AT INPUT",VTX_AT_VAT_TI_STD,VTX_AT_CI_800400002,-19,19,-100,N,100,VAT|VAT|VAT,ATU43626331||||,JUNGHOLZ,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|-19.0|MATCHED|PAYCHARGED||-19.000000|0.000000|-19.0|-19|Y
IF100421CM001,152,"VERTEX AT VAT","COUNTRY AT INPUT",VTX_AT_VAT_I_OUTOFSCOPE,VTX_AT_800400000,0,0,-100,N,100,VAT|VAT|VAT,ATU43626331|AT4152630|||,AUSTRIA,"NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F",321|-19.0|MATCHED|PAYCHARGED||-19.000000|0.000000|-19.0|-19|Y
IF100421CM002,154,"VERTEX AT VAT","CITY AT INPUT",VTX_AT_VAT_TI_STD,VTX_AT_CI_800400002,-19,19,-100,N,100,VAT|VAT|VAT,ATU43626448||||,JUNGHOLZ,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|-19.0|MATCHED|PAYCHARGED||-19.000000|0.000000|-19.0|-19|Y
IF100421CM002,154,"VERTEX AT VAT","COUNTRY AT INPUT",VTX_AT_VAT_I_OUTOFSCOPE,VTX_AT_800400000,0,0,-100,N,100,VAT|VAT|VAT,ATU43626448|AT4152630|||,AUSTRIA,"NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F",321|-19.0|MATCHED|PAYCHARGED||-19.000000|0.000000|-19.0|-19|Y
IF100421CM003,156,"VERTEX AT VAT","CITY AT INPUT",VTX_AT_VAT_TI_STD,VTX_AT_CI_800400002,-19,19,-100,N,100,VAT|VAT|VAT,ATU43626563|DE6352410|||,JUNGHOLZ,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|-19.0|MATCHED|PAYCHARGED||-19.000000|0.000000|-19.0|-19|Y
IF100421CM003,156,"VERTEX AT VAT","COUNTRY AT INPUT",VTX_AT_VAT_I_OUTOFSCOPE,VTX_AT_800400000,0,0,-100,N,100,VAT|VAT|VAT,ATU43626563|DE6352410|||,AUSTRIA,"NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F",321|-19.0|MATCHED|PAYCHARGED||-19.000000|0.000000|-19.0|-19|Y
IF100421CM004,158,"VERTEX AT VAT","CITY AT INPUT",VTX_AT_VAT_TI_STD,VTX_AT_CI_800400004,-19,19,-100,N,100,VAT|VAT|VAT,ATU43626689||||,MITTELBERG,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|-19.0|MATCHED|PAYCHARGED||-19.000000|0.000000|-19.0|-19|Y
IF100421CM004,158,"VERTEX AT VAT","COUNTRY AT INPUT",VTX_AT_VAT_I_OUTOFSCOPE,VTX_AT_800400000,0,0,-100,N,100,VAT|VAT|VAT,ATU43626689|AT4152630|||,AUSTRIA,"NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F",321|-19.0|MATCHED|PAYCHARGED||-19.000000|0.000000|-19.0|-19|Y
IF100421CM005,160,"VERTEX AT VAT","CITY AT INPUT",VTX_AT_VAT_TI_STD,VTX_AT_CI_800400004,-19,19,-100,N,100,VAT|VAT|VAT,ATU43626689||||,MITTELBERG,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|-19.0|MATCHED|PAYCHARGED||-19.000000|0.000000|-19.0|-19|Y
IF100421CM005,160,"VERTEX AT VAT","COUNTRY AT INPUT",VTX_AT_VAT_I_OUTOFSCOPE,VTX_AT_800400000,0,0,-100,N,100,VAT|VAT|VAT,ATU43626689|AT4152630|||,AUSTRIA,"NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F",321|-19.0|MATCHED|PAYCHARGED||-19.000000|0.000000|-19.0|-19|Y
IF100421CM006,162,"VERTEX AT VAT","CITY AT INPUT",VTX_AT_VAT_TI_STD,VTX_AT_CI_800400004,-19,19,-100,N,100,VAT|VAT|VAT,ATU43626689|DE6352410|||,MITTELBERG,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|-19.0|MATCHED|PAYCHARGED||-19.000000|0.000000|-19.0|-19|Y
IF100421CM006,162,"VERTEX AT VAT","COUNTRY AT INPUT",VTX_AT_VAT_I_OUTOFSCOPE,VTX_AT_800400000,0,0,-100,N,100,VAT|VAT|VAT,ATU43626689|DE6352410|||,AUSTRIA,"NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F",321|-19.0|MATCHED|PAYCHARGED||-19.000000|0.000000|-19.0|-19|Y
IF100421CM007,164,"VERTEX AT VAT","COUNTRY AT INPUT",VTX_AT_VAT_I_STD,VTX_AT_800400000,-20,20,-100,N,100,VAT|VAT|VAT,ATU43626796|AT4152630|||,AUSTRIA,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|-20.0|MATCHED|PAYCHARGED||-20.000000|0.000000|-20.0|-20|Y
IF100421CM008,166,"VERTEX AT VAT","COUNTRY AT INPUT",VTX_AT_VAT_I_STD,VTX_AT_800400000,-20,20,-100,N,100,VAT|VAT|VAT,ATU43626796|AT4152630|||,AUSTRIA,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|-20.0|MATCHED|PAYCHARGED||-20.000000|0.000000|-20.0|-20|Y
IF100421CM009,168,"VERTEX AT VAT","COUNTRY AT INPUT",VTX_AT_VAT_I_STD,VTX_AT_800400000,-20,20,-100,N,100,VAT|VAT|VAT,ATU43626796|DE6352410|||,AUSTRIA,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|-20.0|MATCHED|PAYCHARGED||-20.000000|0.000000|-20.0|-20|Y
IF100421A009,17,"VERTEX AT VAT","COUNTRY AT INPUT",VTX_AT_VAT_I_STD,VTX_AT_800400000,20,20,100,N,100,VAT|VAT|VAT,ATU43626796|DE6352410|||,AUSTRIA,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|20.0|MATCHED|PAYCHARGED||20.000000|0.000000|20.0|20|Y
IF100421CM010,170,"VERTEX PT VAT","COUNTRY PT INPUT",VTX_PT_VAT_I_OUTOFSCOPE,VTX_PT_806200000,0,0,-100,N,100,VAT|VAT|VAT,PT513069305|PT4152630|||,PORTUGAL,"NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F",321|-22.0|MATCHED|PAYCHARGED||-22.000000|0.000000|-22.0|-22|Y
IF100421CM010,170,"VERTEX PT VAT","TERRITORY PT INPUT",VTX_PT_VAT_TI_STD,VTX_PT_T_806200001,-22,22,-100,N,100,VAT|VAT|VAT,PT513069305||||,MADEIRA,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|-22.0|MATCHED|PAYCHARGED||-22.000000|0.000000|-22.0|-22|Y
IF100421CM011,172,"VERTEX PT VAT","COUNTRY PT INPUT",VTX_PT_VAT_I_OUTOFSCOPE,VTX_PT_806200000,0,0,-100,N,100,VAT|VAT|VAT,PT513069305|PT4152630|||,PORTUGAL,"NONTAXABLE|DEFAULT|Outside the Scope||Outside the Scope|21|||||F",321|-22.0|MATCHED|PAYCHARGED||-22.000000|0.000000|-22.0|-22|Y
IF100421CM011,172,"VERTEX PT VAT","TERRITORY PT INPUT",VTX_PT_VAT_TI_STD,VTX_PT_T_806200001,-22,22,-100,N,100,VAT|VAT|VAT,PT513069305||||,MADEIRA,"TAXABLE|DEFAULT|Standard Rate|SINGLE_RATE|Standard Rate|21|||||F",321|-22.0|MATCHED|PAYCHARGED||-22.000000|0.000000|-22.0|-22|Y
