PO_NUMBER,CREATION_DATE,RECOVERABLE_TAX,NONRECOVERABLE_TAX,ATTRIBUTE1,ATTRIBUTE2
13967,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_604,604
14089,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_490,490
13970,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_607,607
13977,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_614,614
13719,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_494,494
14000,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_625,625
13363,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_371,371
14019,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_632,632
14027,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_640,640
13769,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_518,518
13802,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_538,538
13542,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_160,160
13544,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_162,162
14044,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_645,645
14048,2022-10-19T00:00:00.000+00:00,0,0,QY101922_649,649
14066,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_655,655
13819,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_542,542
13552,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_170,170
13389,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_385,385
14070,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_659,659
13848,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_558,558
13852,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_562,562
13397,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_393,393
13556,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_174,174
13704,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_681,681
14183,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_923,923
14187,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_927,927
14188,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_928,928
13322,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_330,330
13686,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_114,114
13688,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_116,116
14205,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_945,945
13462,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_260,260
14207,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_947,947
13328,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_336,336
13329,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_337,337
14230,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_813,813
14232,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_815,815
13333,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_341,341
13694,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_122,122
14233,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_816,816
14240,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_823,823
14244,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_827,827
13514,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_132,132
13470,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_268,268
13471,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_269,269
14250,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_833,833
14252,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_835,835
13479,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_277,277
13339,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_347,347
14260,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_843,843
13346,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_354,354
13527,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_145,145
13348,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_356,356
14289,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_872,872
14297,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_880,880
13533,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_151,151
14299,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_882,882
13656,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_84,84
13427,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_225,225
13430,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_228,228
14106,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_961,961
14107,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_962,962
13435,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_233,233
14116,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_971,971
13507,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_305,305
14135,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_990,990
14138,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_993,993
14141,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_996,996
14143,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_998,998
13447,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_245,245
13509,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_307,307
14155,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_895,895
13512,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_310,310
13303,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_311,311
13410,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_214,214
13491,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_289,289
13564,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_182,182
13569,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_187,187
13414,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_398,398
13415,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_399,399
13715,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_692,692
13895,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_404,404
13575,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_3,3
13379,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_195,195
13380,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_196,196
13764,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_717,717
13781,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_722,722
13875,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_572,572
13900,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_578,578
13934,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_417,417
13590,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_18,18
13385,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_201,201
13402,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_206,206
13789,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_730,730
13803,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_732,732
13954,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_420,420
13593,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_21,21
13595,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_23,23
13813,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_742,742
13831,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_748,748
13985,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_438,438
13988,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_441,441
13989,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_442,442
13603,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_31,31
13604,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_32,32
13605,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_33,33
13833,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_750,750
13837,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_754,754
13617,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_45,45
13880,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_772,772
13881,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_773,773
14034,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_461,461
14036,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_463,463
13631,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_59,59
13888,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_780,780
14059,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_473,473
13949,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_797,797
13911,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_784,784
13910,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_588,588
13946,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_599,599
13947,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_600,600
13948,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_601,601
14083,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_484,484
14084,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_485,485
14088,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_489,489
13991,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_616,616
13992,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_617,617
13722,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_497,497
13726,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_501,501
14016,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_629,629
13752,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_514,514
13537,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_155,155
13539,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_157,157
14043,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_644,644
13822,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_545,545
13545,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_163,163
14049,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_650,650
13548,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_166,166
13551,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_169,169
14073,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_662,662
13394,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_390,390
14094,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_671,671
13705,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_682,682
13706,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_683,683
13684,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_112,112
13311,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_319,319
14186,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_926,926
14191,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_931,931
13315,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_323,323
13318,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_326,326
13685,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_113,113
14195,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_935,935
13689,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_117,117
13455,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_253,253
13458,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_256,256
13460,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_258,258
14214,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_954,954
14228,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_811,811
14235,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_818,818
14242,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_825,825
14243,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_826,826
14247,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_830,830
14253,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_836,836
14254,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_837,837
13336,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_344,344
14261,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_844,844
13347,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_355,355
13518,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_136,136
13526,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_144,144
13355,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_363,363
14294,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_877,877
14296,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_879,879
13649,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_77,77
13436,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_234,234
13437,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_235,235
14120,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_975,975
14122,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_977,977
13499,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_297,297
13502,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_300,300
13658,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_86,86
13666,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_94,94
14153,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_893,893
14158,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_898,898
14160,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_900,900
14162,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_902,902
14165,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_905,905
14166,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_906,906
13307,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_315,315
13674,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_102,102
14170,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_910,910
14179,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_919,919
13420,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_218,218
13425,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_223,223
13487,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_285,285
13494,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_292,292
13648,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_76,76
13637,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_65,65
13416,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_400,400
13708,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_685,685
13792,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_528,528
13894,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_403,403
13896,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_405,405
13756,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_709,709
13382,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_198,198
13763,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_716,716
13899,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_577,577
13929,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_412,412
13383,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_199,199
13384,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_200,200
13399,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_203,203
13783,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_724,724
13784,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_725,725
13960,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_426,426
13597,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_25,25
13809,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_738,738
13810,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_739,739
13812,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_741,741
13978,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_431,431
13980,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_433,433
13982,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_435,435
13601,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_29,29
13835,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_752,752
13839,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_756,756
14004,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_444,444
14005,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_445,445
14010,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_450,450
13613,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_41,41
13618,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_46,46
13858,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_763,763
13882,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_774,774
14031,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_458,458
14038,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_465,465
13626,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_54,54
13903,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_581,581
13890,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_782,782
13913,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_786,786
13914,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_787,787
13915,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_788,788
13918,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_791,791
13906,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_584,584
13907,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_585,585
13908,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_586,586
13909,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_587,587
13717,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_492,492
13721,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_496,496
13725,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_500,500
13997,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_622,622
14015,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_628,628
14017,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_630,630
13768,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_517,517
13365,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_373,373
13368,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_376,376
14025,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_638,638
14040,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_641,641
14042,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_643,643
13799,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_535,535
13817,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_540,540
13374,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_382,382
13547,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_165,165
14065,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_654,654
13843,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_553,553
13550,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_168,168
13390,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_386,386
14076,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_665,665
14090,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_667,667
14092,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_669,669
13393,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_389,389
13412,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_396,396
13675,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_103,103
13679,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_107,107
13313,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_321,321
13316,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_324,324
14198,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_938,938
14206,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_946,946
13464,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_262,262
13466,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_264,264
13324,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_332,332
13326,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_334,334
13330,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_338,338
14221,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_804,804
14223,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_806,806
14229,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_812,812
13332,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_340,340
13695,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_123,123
13700,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_128,128
14234,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_817,817
14236,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_819,819
14259,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_842,842
14268,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_851,851
14271,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_854,854
13517,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_135,135
13519,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_137,137
13523,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_141,141
13525,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_143,143
13350,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_358,358
13351,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_359,359
13353,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_361,361
13354,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_362,362
14293,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_876,876
13530,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_148,148
13650,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_78,78
13654,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_82,82
14103,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_958,958
14108,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_963,963
14111,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_966,966
13496,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_294,294
14119,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_974,974
13505,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_303,303
13506,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_304,304
13508,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_306,306
14136,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_991,991
13661,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_89,89
13665,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_93,93
14145,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_1000,1000
14147,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_887,887
13450,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_248,248
13451,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_249,249
14157,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_897,897
13305,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_313,313
14180,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_920,920
13417,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_215,215
13418,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_216,216
13492,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_290,290
13483,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_281,281
13636,2022-10-19T00:00:00.000+00:00,0,40.13,QY101922_64,64
