TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
242025,,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,2.25,2.25,100,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432||||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,
